file	scenario	theme	clientWidthDip	dpi	fixture
01-empty__dark__480dip__fr-FR__display1__144dpi.png	01-empty	dark	480	144	production-renderer-synthetic-presentation
02-preparing__dark__480dip__fr-FR__display1__144dpi.png	02-preparing	dark	480	144	production-renderer-synthetic-presentation
03-awaiting-acceptance__dark__480dip__fr-FR__display1__144dpi.png	03-awaiting-acceptance	dark	480	144	production-renderer-synthetic-presentation
04-queued-start-now__dark__480dip__fr-FR__display1__144dpi.png	04-queued-start-now	dark	480	144	production-renderer-synthetic-presentation
05-queued-overlap-no-start-now__dark__480dip__fr-FR__display1__144dpi.png	05-queued-overlap-no-start-now	dark	480	144	production-renderer-synthetic-presentation
06-discovery-before-transfer__dark__480dip__fr-FR__display1__144dpi.png	06-discovery-before-transfer	dark	480	144	production-renderer-synthetic-presentation
07-discovery-and-transfer__dark__480dip__fr-FR__display1__144dpi.png	07-discovery-and-transfer	dark	480	144	production-renderer-synthetic-presentation
08-discovering-as-needed__dark__480dip__fr-FR__display1__144dpi.png	08-discovering-as-needed	dark	480	144	production-renderer-synthetic-presentation
09-copy-single-stream__dark__480dip__fr-FR__display1__144dpi.png	09-copy-single-stream	dark	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__dark__480dip__fr-FR__display1__144dpi.png	10-copy-four-streams	dark	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__dark__760dip__fr-FR__display1__144dpi.png	10-copy-four-streams	dark	760	144	production-renderer-synthetic-presentation
11-speed-limited__dark__480dip__fr-FR__display1__144dpi.png	11-speed-limited	dark	480	144	production-renderer-synthetic-presentation
12-move__dark__480dip__fr-FR__display1__144dpi.png	12-move	dark	480	144	production-renderer-synthetic-presentation
13-delete__dark__480dip__fr-FR__display1__144dpi.png	13-delete	dark	480	144	production-renderer-synthetic-presentation
14-paused__dark__480dip__fr-FR__display1__144dpi.png	14-paused	dark	480	144	production-renderer-synthetic-presentation
15-stopping__dark__480dip__fr-FR__display1__144dpi.png	15-stopping	dark	480	144	production-renderer-synthetic-presentation
16-callback-silence__dark__480dip__fr-FR__display1__144dpi.png	16-callback-silence	dark	480	144	production-renderer-synthetic-presentation
17-verifying__dark__480dip__fr-FR__display1__144dpi.png	17-verifying	dark	480	144	production-renderer-synthetic-presentation
18-completed__dark__480dip__fr-FR__display1__144dpi.png	18-completed	dark	480	144	production-renderer-synthetic-presentation
19-completed-verified__dark__480dip__fr-FR__display1__144dpi.png	19-completed-verified	dark	480	144	production-renderer-synthetic-presentation
20-partial-skipped__dark__480dip__fr-FR__display1__144dpi.png	20-partial-skipped	dark	480	144	production-renderer-synthetic-presentation
21-move-source-kept__dark__480dip__fr-FR__display1__144dpi.png	21-move-source-kept	dark	480	144	production-renderer-synthetic-presentation
22-clipboard-move-source-kept__dark__480dip__fr-FR__display1__144dpi.png	22-clipboard-move-source-kept	dark	480	144	production-renderer-synthetic-presentation
23-move-source-unknown__dark__480dip__fr-FR__display1__144dpi.png	23-move-source-unknown	dark	480	144	production-renderer-synthetic-presentation
24-failed__dark__480dip__fr-FR__display1__144dpi.png	24-failed	dark	480	144	production-renderer-synthetic-presentation
25-canceled-after-progress__dark__480dip__fr-FR__display1__144dpi.png	25-canceled-after-progress	dark	480	144	production-renderer-synthetic-presentation
26-interrupted-move__dark__480dip__fr-FR__display1__144dpi.png	26-interrupted-move	dark	480	144	production-renderer-synthetic-presentation
27-long-unicode-paths__dark__480dip__fr-FR__display1__144dpi.png	27-long-unicode-paths	dark	480	144	production-renderer-synthetic-presentation
27-long-unicode-paths__dark__760dip__fr-FR__display1__144dpi.png	27-long-unicode-paths	dark	760	144	production-renderer-synthetic-presentation
28-compact-progress__dark__480dip__fr-FR__display1__144dpi.png	28-compact-progress	dark	480	144	production-renderer-synthetic-presentation
29-footer-only__dark__480dip__fr-FR__display1__144dpi.png	29-footer-only	dark	480	144	production-renderer-synthetic-presentation
30-running-and-queued__dark__480dip__fr-FR__display1__144dpi.png	30-running-and-queued	dark	480	144	production-renderer-synthetic-presentation
30-running-and-queued__dark__760dip__fr-FR__display1__144dpi.png	30-running-and-queued	dark	760	144	production-renderer-synthetic-presentation
31-completed-group-expanded__dark__480dip__fr-FR__display1__144dpi.png	31-completed-group-expanded	dark	480	144	production-renderer-synthetic-presentation
32-completed-group-collapsed__dark__480dip__fr-FR__display1__144dpi.png	32-completed-group-collapsed	dark	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__dark__480dip__fr-FR__display1__144dpi.png	33-decision-file-exists	dark	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__dark__760dip__fr-FR__display1__144dpi.png	33-decision-file-exists	dark	760	144	production-renderer-synthetic-presentation
34-decision-read-only-file__dark__480dip__fr-FR__display1__144dpi.png	34-decision-read-only-file	dark	480	144	production-renderer-synthetic-presentation
35-decision-read-only-exists__dark__480dip__fr-FR__display1__144dpi.png	35-decision-read-only-exists	dark	480	144	production-renderer-synthetic-presentation
36-decision-type-mismatch__dark__480dip__fr-FR__display1__144dpi.png	36-decision-type-mismatch	dark	480	144	production-renderer-synthetic-presentation
37-decision-destination-link__dark__480dip__fr-FR__display1__144dpi.png	37-decision-destination-link	dark	480	144	production-renderer-synthetic-presentation
