file	scenario	theme	clientWidthDip	dpi	fixture
01-empty__dark__480dip.png	01-empty	dark	480	144	production-renderer-synthetic-presentation
02-preparing__dark__480dip.png	02-preparing	dark	480	144	production-renderer-synthetic-presentation
03-awaiting-acceptance__dark__480dip.png	03-awaiting-acceptance	dark	480	144	production-renderer-synthetic-presentation
04-queued-start-now__dark__480dip.png	04-queued-start-now	dark	480	144	production-renderer-synthetic-presentation
05-queued-overlap-no-start-now__dark__480dip.png	05-queued-overlap-no-start-now	dark	480	144	production-renderer-synthetic-presentation
06-discovery-before-transfer__dark__480dip.png	06-discovery-before-transfer	dark	480	144	production-renderer-synthetic-presentation
07-discovery-and-transfer__dark__480dip.png	07-discovery-and-transfer	dark	480	144	production-renderer-synthetic-presentation
08-discovering-as-needed__dark__480dip.png	08-discovering-as-needed	dark	480	144	production-renderer-synthetic-presentation
09-copy-single-stream__dark__480dip.png	09-copy-single-stream	dark	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__dark__480dip.png	10-copy-four-streams	dark	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__dark__760dip.png	10-copy-four-streams	dark	760	144	production-renderer-synthetic-presentation
11-speed-limited__dark__480dip.png	11-speed-limited	dark	480	144	production-renderer-synthetic-presentation
12-move__dark__480dip.png	12-move	dark	480	144	production-renderer-synthetic-presentation
13-delete__dark__480dip.png	13-delete	dark	480	144	production-renderer-synthetic-presentation
14-paused__dark__480dip.png	14-paused	dark	480	144	production-renderer-synthetic-presentation
15-stopping__dark__480dip.png	15-stopping	dark	480	144	production-renderer-synthetic-presentation
16-callback-silence__dark__480dip.png	16-callback-silence	dark	480	144	production-renderer-synthetic-presentation
17-verifying__dark__480dip.png	17-verifying	dark	480	144	production-renderer-synthetic-presentation
18-completed__dark__480dip.png	18-completed	dark	480	144	production-renderer-synthetic-presentation
19-completed-verified__dark__480dip.png	19-completed-verified	dark	480	144	production-renderer-synthetic-presentation
20-partial-skipped__dark__480dip.png	20-partial-skipped	dark	480	144	production-renderer-synthetic-presentation
21-move-source-kept__dark__480dip.png	21-move-source-kept	dark	480	144	production-renderer-synthetic-presentation
22-clipboard-move-source-kept__dark__480dip.png	22-clipboard-move-source-kept	dark	480	144	production-renderer-synthetic-presentation
23-move-source-unknown__dark__480dip.png	23-move-source-unknown	dark	480	144	production-renderer-synthetic-presentation
24-failed__dark__480dip.png	24-failed	dark	480	144	production-renderer-synthetic-presentation
25-canceled-after-progress__dark__480dip.png	25-canceled-after-progress	dark	480	144	production-renderer-synthetic-presentation
26-interrupted-move__dark__480dip.png	26-interrupted-move	dark	480	144	production-renderer-synthetic-presentation
27-long-unicode-paths__dark__480dip.png	27-long-unicode-paths	dark	480	144	production-renderer-synthetic-presentation
27-long-unicode-paths__dark__760dip.png	27-long-unicode-paths	dark	760	144	production-renderer-synthetic-presentation
28-compact-progress__dark__480dip.png	28-compact-progress	dark	480	144	production-renderer-synthetic-presentation
29-footer-only__dark__480dip.png	29-footer-only	dark	480	144	production-renderer-synthetic-presentation
30-running-and-queued__dark__480dip.png	30-running-and-queued	dark	480	144	production-renderer-synthetic-presentation
30-running-and-queued__dark__760dip.png	30-running-and-queued	dark	760	144	production-renderer-synthetic-presentation
31-completed-group-expanded__dark__480dip.png	31-completed-group-expanded	dark	480	144	production-renderer-synthetic-presentation
32-completed-group-collapsed__dark__480dip.png	32-completed-group-collapsed	dark	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__dark__480dip.png	33-decision-file-exists	dark	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__dark__760dip.png	33-decision-file-exists	dark	760	144	production-renderer-synthetic-presentation
34-decision-read-only-file__dark__480dip.png	34-decision-read-only-file	dark	480	144	production-renderer-synthetic-presentation
35-decision-read-only-exists__dark__480dip.png	35-decision-read-only-exists	dark	480	144	production-renderer-synthetic-presentation
36-decision-type-mismatch__dark__480dip.png	36-decision-type-mismatch	dark	480	144	production-renderer-synthetic-presentation
37-decision-destination-link__dark__480dip.png	37-decision-destination-link	dark	480	144	production-renderer-synthetic-presentation
38-decision-name-not-representable__dark__480dip.png	38-decision-name-not-representable	dark	480	144	production-renderer-synthetic-presentation
39-decision-target-conflict__dark__480dip.png	39-decision-target-conflict	dark	480	144	production-renderer-synthetic-presentation
40-decision-sharing-violation__dark__480dip.png	40-decision-sharing-violation	dark	480	144	production-renderer-synthetic-presentation
41-decision-access-denied__dark__480dip.png	41-decision-access-denied	dark	480	144	production-renderer-synthetic-presentation
42-decision-disk-full__dark__480dip.png	42-decision-disk-full	dark	480	144	production-renderer-synthetic-presentation
43-decision-path-too-long__dark__480dip.png	43-decision-path-too-long	dark	480	144	production-renderer-synthetic-presentation
44-decision-recycle-failed__dark__480dip.png	44-decision-recycle-failed	dark	480	144	production-renderer-synthetic-presentation
45-decision-insufficient-space__dark__480dip.png	45-decision-insufficient-space	dark	480	144	production-renderer-synthetic-presentation
46-decision-space-unknown__dark__480dip.png	46-decision-space-unknown	dark	480	144	production-renderer-synthetic-presentation
47-decision-efs-plaintext__dark__480dip.png	47-decision-efs-plaintext	dark	480	144	production-renderer-synthetic-presentation
48-decision-sparse-inflation__dark__480dip.png	48-decision-sparse-inflation	dark	480	144	production-renderer-synthetic-presentation
49-decision-placeholder-hydration__dark__480dip.png	49-decision-placeholder-hydration	dark	480	144	production-renderer-synthetic-presentation
50-decision-metadata-loss__dark__480dip.png	50-decision-metadata-loss	dark	480	144	production-renderer-synthetic-presentation
51-decision-network-offline__dark__480dip.png	51-decision-network-offline	dark	480	144	production-renderer-synthetic-presentation
52-decision-unsupported-reparse__dark__480dip.png	52-decision-unsupported-reparse	dark	480	144	production-renderer-synthetic-presentation
53-decision-same-host-overlap__dark__480dip.png	53-decision-same-host-overlap	dark	480	144	production-renderer-synthetic-presentation
54-decision-same-host-live-output__dark__480dip.png	54-decision-same-host-live-output	dark	480	144	production-renderer-synthetic-presentation
55-decision-permanent-delete__dark__480dip.png	55-decision-permanent-delete	dark	480	144	production-renderer-synthetic-presentation
56-decision-unknown-error__dark__480dip.png	56-decision-unknown-error	dark	480	144	production-renderer-synthetic-presentation
57-decision-metadata-loading__dark__480dip.png	57-decision-metadata-loading	dark	480	144	production-renderer-synthetic-presentation
58-decision-replacement-withheld__dark__480dip.png	58-decision-replacement-withheld	dark	480	144	production-renderer-synthetic-presentation
59-decision-retry-failed__dark__480dip.png	59-decision-retry-failed	dark	480	144	production-renderer-synthetic-presentation
60-decision-apply-to-all-checked__dark__480dip.png	60-decision-apply-to-all-checked	dark	480	144	production-renderer-synthetic-presentation
61-compare-scanning__dark__480dip.png	61-compare-scanning	dark	480	144	production-renderer-synthetic-presentation
62-change-case-enumerating__dark__480dip.png	62-change-case-enumerating	dark	480	144	production-renderer-synthetic-presentation
63-change-attributes-applying__dark__480dip.png	63-change-attributes-applying	dark	480	144	production-renderer-synthetic-presentation
64-file-list-rendering__dark__480dip.png	64-file-list-rendering	dark	480	144	production-renderer-synthetic-presentation
65-verification-failed__dark__480dip.png	65-verification-failed	dark	480	144	production-renderer-synthetic-presentation
66-verification-unavailable__dark__480dip.png	66-verification-unavailable	dark	480	144	production-renderer-synthetic-presentation
67-verification-canceled__dark__480dip.png	67-verification-canceled	dark	480	144	production-renderer-synthetic-presentation
68-zero-byte-items__dark__480dip.png	68-zero-byte-items	dark	480	144	production-renderer-synthetic-presentation
69-all-items-skipped__dark__480dip.png	69-all-items-skipped	dark	480	144	production-renderer-synthetic-presentation
70-queue-paused__dark__480dip.png	70-queue-paused	dark	480	144	production-renderer-synthetic-presentation
71-waiting-for-other-task__dark__480dip.png	71-waiting-for-other-task	dark	480	144	production-renderer-synthetic-presentation
72-automatic-concurrency__dark__480dip.png	72-automatic-concurrency	dark	480	144	production-renderer-synthetic-presentation
73-compact-density__dark__480dip.png	73-compact-density	dark	480	144	production-renderer-synthetic-presentation
74-sixteen-streams__dark__480dip.png	74-sixteen-streams	dark	480	144	production-renderer-synthetic-presentation
75-compare-content__dark__480dip.png	75-compare-content	dark	480	144	production-renderer-synthetic-presentation
76-compare-scan-and-content__dark__480dip.png	76-compare-scan-and-content	dark	480	144	production-renderer-synthetic-presentation
77-change-case-renaming__dark__480dip.png	77-change-case-renaming	dark	480	144	production-renderer-synthetic-presentation
78-change-attributes-enumerating__dark__480dip.png	78-change-attributes-enumerating	dark	480	144	production-renderer-synthetic-presentation
79-file-list-collecting__dark__480dip.png	79-file-list-collecting	dark	480	144	production-renderer-synthetic-presentation
80-file-list-writing__dark__480dip.png	80-file-list-writing	dark	480	144	production-renderer-synthetic-presentation
81-compare-done__dark__480dip.png	81-compare-done	dark	480	144	production-renderer-synthetic-presentation
82-compare-failed__dark__480dip.png	82-compare-failed	dark	480	144	production-renderer-synthetic-presentation
83-compare-canceled__dark__480dip.png	83-compare-canceled	dark	480	144	production-renderer-synthetic-presentation
84-change-case-done__dark__480dip.png	84-change-case-done	dark	480	144	production-renderer-synthetic-presentation
85-change-case-failed__dark__480dip.png	85-change-case-failed	dark	480	144	production-renderer-synthetic-presentation
86-change-case-canceled__dark__480dip.png	86-change-case-canceled	dark	480	144	production-renderer-synthetic-presentation
87-change-attributes-done__dark__480dip.png	87-change-attributes-done	dark	480	144	production-renderer-synthetic-presentation
88-change-attributes-failed__dark__480dip.png	88-change-attributes-failed	dark	480	144	production-renderer-synthetic-presentation
89-change-attributes-canceled__dark__480dip.png	89-change-attributes-canceled	dark	480	144	production-renderer-synthetic-presentation
90-file-list-done__dark__480dip.png	90-file-list-done	dark	480	144	production-renderer-synthetic-presentation
91-file-list-failed__dark__480dip.png	91-file-list-failed	dark	480	144	production-renderer-synthetic-presentation
92-file-list-canceled__dark__480dip.png	92-file-list-canceled	dark	480	144	production-renderer-synthetic-presentation
93-menu-options__dark__480dip.png	93-menu-options	dark	480	144	production-renderer-synthetic-presentation
93-menu-options__dark__480dip__flyout.png	93-menu-options	dark	480	144	production-menu-synthetic-owner
94-menu-queue__dark__480dip.png	94-menu-queue	dark	480	144	production-renderer-synthetic-presentation
94-menu-queue__dark__480dip__flyout.png	94-menu-queue	dark	480	144	production-menu-synthetic-owner
95-menu-completed-more__dark__480dip.png	95-menu-completed-more	dark	480	144	production-renderer-synthetic-presentation
95-menu-completed-more__dark__480dip__flyout.png	95-menu-completed-more	dark	480	144	production-menu-synthetic-owner
96-menu-speed__dark__480dip.png	96-menu-speed	dark	480	144	production-renderer-synthetic-presentation
96-menu-speed__dark__480dip__flyout.png	96-menu-speed	dark	480	144	production-menu-synthetic-owner
97-menu-conflict-more__dark__480dip.png	97-menu-conflict-more	dark	480	144	production-renderer-synthetic-presentation
97-menu-conflict-more__dark__480dip__flyout.png	97-menu-conflict-more	dark	480	144	production-menu-synthetic-owner
98-renderer-failure__dark__480dip.png	98-renderer-failure	dark	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__light__480dip.png	10-copy-four-streams	light	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__light__760dip.png	10-copy-four-streams	light	760	144	production-renderer-synthetic-presentation
31-completed-group-expanded__light__480dip.png	31-completed-group-expanded	light	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__light__480dip.png	33-decision-file-exists	light	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__light__760dip.png	33-decision-file-exists	light	760	144	production-renderer-synthetic-presentation
55-decision-permanent-delete__light__480dip.png	55-decision-permanent-delete	light	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__rainbow__480dip.png	10-copy-four-streams	rainbow	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__rainbow__760dip.png	10-copy-four-streams	rainbow	760	144	production-renderer-synthetic-presentation
31-completed-group-expanded__rainbow__480dip.png	31-completed-group-expanded	rainbow	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__rainbow__480dip.png	33-decision-file-exists	rainbow	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__rainbow__760dip.png	33-decision-file-exists	rainbow	760	144	production-renderer-synthetic-presentation
55-decision-permanent-delete__rainbow__480dip.png	55-decision-permanent-delete	rainbow	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__high-contrast__480dip.png	10-copy-four-streams	high-contrast	480	144	production-renderer-synthetic-presentation
10-copy-four-streams__high-contrast__760dip.png	10-copy-four-streams	high-contrast	760	144	production-renderer-synthetic-presentation
31-completed-group-expanded__high-contrast__480dip.png	31-completed-group-expanded	high-contrast	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__high-contrast__480dip.png	33-decision-file-exists	high-contrast	480	144	production-renderer-synthetic-presentation
33-decision-file-exists__high-contrast__760dip.png	33-decision-file-exists	high-contrast	760	144	production-renderer-synthetic-presentation
55-decision-permanent-delete__high-contrast__480dip.png	55-decision-permanent-delete	high-contrast	480	144	production-renderer-synthetic-presentation
99-speed-custom__dark__dialog.png	99-speed-custom	dark	0	144	production-dialog-synthetic-input
100-speed-invalid__dark__dialog.png	100-speed-invalid	dark	0	144	production-dialog-synthetic-input
101-speed-valid__dark__dialog.png	101-speed-valid	dark	0	144	production-dialog-synthetic-input
